Broad ID,Comment,MW,Sol. (uM),Plate,Barcode,BC Added,Well,Stock Conc. (mM),Conc (uM),384W Dest.,Total Vol. (uL),Test [Cpd] uM,fold_dil,num_pts,Buffer (uL),Cmpd to Add (uL),DMSO to Add (uL)
BRD-K81106261-001-01-4,Control,496.557,500,Plate_04,1158365050,1158365050,H01,10,10000,A12,200,50,2,10,190,1,9
BRD-K66467881-001-02-7,Control,442.12,450,Plate_01,1154022106,1154022106,F11,10,10000,A24,200,50,2,10,190,1,9
BRD-K96662091-001-01-5,,368.366,370,Plate_04,1153033124,1153033124,C10,10,10000,B12,200,50,2,10,190,1,9
BRD-K23780629-001-01-4,Test,411.453,9,Plate_04,1158361854,1158361854,A06,10,10000,B24,200,50,2,10,190,1,9
BRD-K66146700-001-01-8,Test,370.382,8.5,MO00001155,1158364727,1158364727,A03,10,10000,C12,200,50,2,10,190,1,9
BRD-K81106261-001-01-4,Control,496.557,500,Plate_04,1158365050,1158365050,H01,10,10000,C24,200,50,2,10,190,1,9
BRD-K72959598-001-01-1,Retest,356.12,,Plate_02,1154027021,1154027021,G03,10,10000,D12,200,50,2,10,190,1,9
BRD-K36009241-001-01-1,,398.436,,Plate_04,1153037003,1153037003,D02,10,10000,D24,200,50,2,10,190,1,9
BRD-K39587161-001-01-9,,367.378,,Plate_04,1153037004,1153037004,D01,10,10000,E12,200,50,2,10,190,1,9
BRD-K90200239-001-01-3,Neg Test,456.138,450,Plate_3,1154026641,1154026641,C07,10,10000,E24,200,50,2,10,190,1,9
BRD-K81106261-001-01-4,Control,496.557,500,Plate_04,1158365050,1158365050,H01,10,10000,F12,200,50,2,10,190,1,9